Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
foo/new/34,1.5799030913677385e-8,1.5769794366808924e-8,1.583019724371909e-8,1.0615106431709325e-10,8.657079741422815e-11,1.4049156933232725e-10
foo/old/34,3.874880976390075e-8,3.8651987481713844e-8,3.900212102380885e-8,4.886826882516749e-10,1.9812410671994023e-10,1.0385530306256986e-9
foo/dyn/34,7.32472366756459e-8,7.294271448160671e-8,7.374125821757957e-8,1.2523711709849925e-9,7.844970423652277e-10,2.0732212882720505e-9
foo/new/35,1.6137464918767674e-8,1.6092773497869195e-8,1.6197866133929796e-8,1.7003239358777726e-10,1.3140915665304978e-10,2.2833060568995754e-10
foo/old/35,4.018403986228998e-8,4.005532531757881e-8,4.038280250061345e-8,5.26438941665678e-10,3.4231327038049855e-10,8.04552142491899e-10
foo/dyn/35,6.863813545193101e-8,6.841092760163992e-8,6.902243604378609e-8,9.51002336095654e-10,6.843832575759736e-10,1.5099764994974134e-9
foo/new/36,1.628995387970781e-8,1.6257395018960798e-8,1.6329726230620635e-8,1.2095508391602733e-10,9.899066108275786e-11,1.5449765267003064e-10
foo/old/36,4.714241245112738e-8,4.7006378294277363e-8,4.758701162623927e-8,7.695284037955846e-10,1.796031620074443e-10,1.603816441423667e-9
foo/dyn/36,6.865373018543387e-8,6.844516273942924e-8,6.897600668074545e-8,8.653718607530765e-10,5.916432390295703e-10,1.562003529587886e-9
foo/new/37,1.6768025845732907e-8,1.6738354540447312e-8,1.680404722703133e-8,1.0572288319038098e-10,8.504086594760599e-11,1.3421367023594568e-10
foo/old/37,4.228341802291649e-8,4.2190476296102914e-8,4.250357575441312e-8,4.5193191956921223e-10,2.1269514246176355e-10,8.475220283114269e-10
foo/dyn/37,7.261377895776872e-8,7.180944689987259e-8,7.437269036084341e-8,3.826662577563351e-9,1.1915459867213226e-9,6.402263396752552e-9
foo/new/38,1.7309832301778933e-8,1.72569380253061e-8,1.7394860544236423e-8,2.1827037625884774e-10,1.5410181633099392e-10,3.637842225035659e-10
foo/old/38,4.335964036293714e-8,4.323061808563624e-8,4.3665097428762865e-8,6.096751348929172e-10,2.7535352384315485e-10,1.1625708151498327e-9
foo/dyn/38,8.199275694006914e-8,8.159843141074845e-8,8.276930618009247e-8,1.7958492002317633e-9,9.947569631664957e-10,3.092108290637187e-9
foo/new/39,1.752507016654356e-8,1.7476225725811087e-8,1.75893482932655e-8,1.8405186943096243e-10,1.2825836699946184e-10,2.6145942368223125e-10
foo/old/39,5.534023837918108e-8,5.5056744026421465e-8,5.5865257605918756e-8,1.320051953231239e-9,7.042911275762847e-10,2.407837701924809e-9
foo/dyn/39,7.712947302768867e-8,7.671922069364058e-8,7.800780693363506e-8,1.827796588616407e-9,8.486071063933118e-10,3.0373421014758267e-9
foo/new/40,1.8136334897257688e-8,1.8097697654797166e-8,1.8215947739958085e-8,1.79992446318262e-10,9.78750225252554e-11,3.426925453638679e-10
foo/old/40,4.472155944797676e-8,4.445816523758656e-8,4.559746430304658e-8,1.4387700666326638e-9,2.378533177534567e-10,2.9501802060913985e-9
foo/dyn/40,7.733692448671706e-8,7.693632548067964e-8,7.81880295752786e-8,1.8753510232968637e-9,1.1434920864963706e-9,3.364092901546749e-9
foo/new/41,1.824947242228565e-8,1.8201707341008433e-8,1.8311705449324298e-8,1.803986232503006e-10,1.1635895411486078e-10,2.687189460531891e-10
foo/old/41,4.4020617565323263e-8,4.395919021523176e-8,4.4080190023626895e-8,1.9888251721058187e-10,1.6998805553573792e-10,2.3841493016226037e-10
foo/dyn/41,7.885162304099667e-8,7.867741269509351e-8,7.910975059698262e-8,7.535616962509123e-10,5.489340945424066e-10,1.2462491563548534e-9
foo/new/42,1.8585100239825004e-8,1.8547620748884215e-8,1.8628117724305894e-8,1.3817789734217464e-10,1.156097501884341e-10,1.7333454418434684e-10
foo/old/42,4.6178872896362914e-8,4.611269848243783e-8,4.626094682184447e-8,2.657485390341086e-10,2.1329535891351953e-10,3.666171870141905e-10
foo/dyn/42,8.7404630338606e-8,8.716963026816108e-8,8.811538175625022e-8,1.1662875069394613e-9,4.3865262771086147e-10,2.466301224485315e-9
foo/new/43,1.893710502134478e-8,1.888538733953233e-8,1.901215690284552e-8,2.159573714578861e-10,1.5192442180057744e-10,3.4857421777556787e-10
foo/old/43,4.580066113989334e-8,4.574038922885137e-8,4.5898881013613445e-8,2.415511642170346e-10,1.6130704427990022e-10,4.1600933954758995e-10
foo/dyn/43,8.362980896909137e-8,8.32113825124167e-8,8.422966494547611e-8,1.6574976451612509e-9,1.2098381621972902e-9,2.280548230678085e-9
foo/new/44,1.9617431764729093e-8,1.955244901152263e-8,1.973374461557172e-8,2.7648602769713273e-10,1.7546332906969497e-10,4.652001785634035e-10
foo/old/44,4.783395642841408e-8,4.77641489877541e-8,4.7916540632210354e-8,2.575638002742627e-10,2.0675187068361178e-10,3.4416706220470687e-10
foo/dyn/44,8.432135944046253e-8,8.405583389048067e-8,8.485261754924255e-8,1.208920461074976e-9,7.102922861070918e-10,2.1001564919646145e-9
foo/new/45,1.972836491494969e-8,1.9649891091738045e-8,1.995893706884403e-8,4.2359325800832525e-10,1.573388123222551e-10,8.459727663481975e-10
foo/old/45,4.823075895044217e-8,4.8144349789677553e-8,4.834254803352239e-8,3.261101161269456e-10,2.3695204252475503e-10,4.731797347012874e-10
foo/dyn/45,8.499002593734059e-8,8.471425008931447e-8,8.543747473289703e-8,1.1699578929596244e-9,6.765338570406288e-10,2.108262549223516e-9
foo/new/46,2.0502706643465986e-8,2.044607986416388e-8,2.064806072498366e-8,2.81747315799982e-10,1.312345321804757e-10,5.461950481898198e-10
foo/old/46,4.812788940541167e-8,4.8056900426194685e-8,4.821494638422299e-8,2.5843398911005757e-10,2.0400684270622375e-10,3.451385738233459e-10
foo/dyn/46,9.617684477194605e-8,9.554927619503066e-8,9.786464909229318e-8,2.9411863386473257e-9,5.837315587330558e-10,5.072924511812985e-9
foo/new/47,2.0227601630938358e-8,2.0140554918815117e-8,2.0447306654186835e-8,4.462950529542417e-10,2.0143486246496476e-10,7.836337152900979e-10
foo/old/47,5.085422215617061e-8,5.076559925363184e-8,5.0953235412747646e-8,3.1148173047835953e-10,2.400212131759335e-10,4.119511248938332e-10
